BankURL,UserName,ReviewRating,UserLocation,ReviewTitle,comments,ReviewDate
www.dugood.org,Wayne Belaire,5,US,Positive,I was a member with another local credit union since I was 16 years old.  In my mid forties I transferred over due to excessive fees and changes within the  establishment where I was a member.  Both my wife and I are very glad that we made the change.  We saved a ton on home mortgage and vehicle interest.  We r thankful to be DuGood members!!,"Date of experience: November 01, 2017"
www.dugood.org,Terry,5,US,DuGood is the greatest!,,"Date of experience: November 01, 2017"
www.dugood.org,Jay,5,US,Always good experience to deal with …,Always good experience to deal with knowledgeable employees who have customer satisfaction as their main goal,"Date of experience: November 01, 2017"
www.dugood.org,Daniel,5,US,My wife and I have been members of …,"My wife and I have been members of DuGood Credit Union for over five years and have always had great service. We frequent the Nederland branch and the Port Neches branch. Both locations give excellent service. Amy helped us get our auto / RV / Motorcycle and home loans set up through DuGood and we got much, much lower rates than our previous banking institution. I would definitely recommend DuGood to anyone.","Date of experience: November 01, 2017"
www.dugood.org,Daniel,4,US,Great Service and Banking,Great credit union to bank with. Only reason I did not give 5 stars is it takes too long to get their EOM statements out.,"Date of experience: October 31, 2017"
www.dugood.org,William,5,US,Great Customer Service,,"Date of experience: October 31, 2017"
www.dugood.org,Customer,5,US,It was awesome .,,"Date of experience: October 30, 2017"
www.dugood.org,Travion,5,US,They are very Polite with me and make …,"They are very Polite with me and make sure that I have everything together and right before I leave. They tell me everything I want to know and not just want I want to here, also they break things down for me to were I understand everything.","Date of experience: October 20, 2017"
www.dugood.org,Stacy,5,US,Always friendly and willing to help …,Always friendly and willing to help with a smile on their faces.,"Date of experience: October 20, 2017"
www.dugood.org,Brenda,5,US,Great,Great experience,"Date of experience: October 18, 2017"
www.dugood.org,Ashley,5,US,GREAT RATES,"GREAT RATES , FANTASTIC SERVCE, I WOULD RECOMMEND THIS COMPANY TO ANYONE!!! .","Date of experience: October 18, 2017"
www.dugood.org,William C. Adams,5,US,People caring for customers,"Hi Guys, As usual you guys have done a great job helping me out of a nine line bind when the computers foul up. Thank God for people that still know how to run the show instead of the alternative. Keep up the good work. William Adams","Date of experience: October 18, 2017"
www.dugood.org,Jerome,5,US,money transfer was no problem,,"Date of experience: October 17, 2017"
www.dugood.org,Stacy,5,US,Loan experience was simple and fast,Loan experience was simple and fast.  Drive through tellers are always effecient and friendly,"Date of experience: October 17, 2017"
www.dugood.org,Louisa,5,US,Everyone is very nice and helpful .,,"Date of experience: October 17, 2017"
www.dugood.org,Robert Herbst,5,US,Friendly employees who are very …,Friendly employees who are very knowledgeable and helpful. Loan Officers ingand Manager are very accomedating.  A great banking experience.,"Date of experience: October 17, 2017"
www.dugood.org,Drebson,5,US,The truth,All the way free checking and savings account,"Date of experience: October 17, 2017"
www.dugood.org,Kyle,5,US,I needed a loan to get my car out of …,I needed a loan to get my car out of the shop. I had no credit and no co-signer but they still loaned me the money I needed to get me back on my feet.,"Date of experience: October 17, 2017"
www.dugood.org,Ailaine,5,US,The customer service is Always …,"The customer service is Always excellent! Rosalie, Jared in Financing, they have been very accommodating.","Date of experience: October 17, 2017"
www.dugood.org,Matthew Bland,5,US,Great experience,I had a great experience refinancing my auto loan!,"Date of experience: October 17, 2017"
www.dugood.org,David and Melissa  Achee,5,US,We have financed our cars and …,We have financed our cars and refinanced our home with DuGood . Great experience always .   My boys opened checking accounts at 16 and now they are 26 and 19 and have both financed there own vehicals thru Dugood great customer service !!! Love our family is part of the DuGood family.,"Date of experience: October 17, 2017"
www.dugood.org,Molly'S Holdings Llc,5,US,Wonderful experience,Wonderful experience.,"Date of experience: October 17, 2017"
www.dugood.org,Scott Nixon,5,US,Newcomer to DuGood,"DuGood financed an auto for me without any problems and a really great interest rate that im very happy with, i have never used them before but will be a lifelong customer from here on, i will highly recomend them to anyone needing any type of financing,        Thanks, DuGood !!","Date of experience: October 17, 2017"
www.dugood.org,Troy,5,US,The best people to deal with on …,"The best people to deal with on whatever may come up.They actually listen to the customers, everytime I have visited the bank weather in the lobby or drive thru I have been greeted with a friendly smile and a hello. Real down to earth people","Date of experience: October 17, 2017"
www.dugood.org,Jessica,4,US,"""A"" Rating","The only thing I've ever been disappointed in DuGood about was their inability to handle the extra work load involved after Hurricane Harvey. My insurance company contacted them TWICE to initiate pay off of my auto loan & they were ""too busy"" to call me & let me know they needed my permission before responding. Otherwise, they've always been very polite, efficient & timely.","Date of experience: October 17, 2017"
www.dugood.org,Tony  Runnels,5,US,I have been with Dupont credit union 27 …,"I have been with Dupont credit union 27 years, and can tell the world, that the credit union has been good to me and my family. They have all waysbeen their when I needed them. The best thing that I like about the Dupontor DuGood credit union is They allways made me feel like FAMILY.                                          Tony Runnels                                                                           Member for LIFE","Date of experience: October 17, 2017"
www.dugood.org,Colby,5,US,Amazing,"Very friendly staff,quick and efficient as well!","Date of experience: October 17, 2017"
www.dugood.org,John,5,US,Great service,"Friendly, easy and fast service while getting a home equity loan.  Also, no closing cost!","Date of experience: October 16, 2017"
www.dugood.org,Mary,5,US,The employees are so helpful and have …,The employees are so helpful and have worked hard to answer any questions.,"Date of experience: October 16, 2017"
www.dugood.org,Mona,5,US,I have been a member for a long,"I have been a member for a long, long time.  I LOVE the people here...everyone is so nice, helpful and truly care about the customers needs.  I have never been disappointed or left the building mad.  The customer service is over and beyond the call of duty.  YES!, I would and do recommend DuGood every chance I get.  Thank You DuGood for taking such good care of me and my money.  : )","Date of experience: October 16, 2017"
www.dugood.org,Phyllis,5,US,I love being at a credit union..and …,I love being at a credit union..and DuGood has helped me many times and  the people are very nice!�,"Date of experience: October 16, 2017"
www.dugood.org,Nina,5,US,Friendly staff,,"Date of experience: October 16, 2017"
www.dugood.org,Jeffrey,5,US,I love this bank.,I love this bank.. thanks,"Date of experience: October 16, 2017"
www.dugood.org,Sherley,5,US,Dugood has always been an excellent …,"Dugood has always been an excellent company to deal with, I was truly impressed during the passed Hurricane Harvey, I got frequent text telling  where and when branches were open or not, and telling me to be safe. I am a home health nurse and am on the road all the time, and I heard more concern from my Credit Union than I did my job. I am grateful for the time and attention. Thank you very much.","Date of experience: October 16, 2017"
www.dugood.org,Jessica,3,US,Not Bad,"I like Dugood. Only thing that irritates me is that it seems like every time I go in to deposit into my IRA I get stuck with someone who has never done it before. Obviously I don't mind them training people, but it makes me nervous that no one seems to know what they are doing.","Date of experience: October 16, 2017"
www.dugood.org,Janet,5,US,Everyone there working are very helpful …,Everyone there working are very helpful an Courteous! ! I really enjoyed my experience with this Credit Union!,"Date of experience: October 16, 2017"
www.dugood.org,Zackary,5,US,Wonderful service and knowledgeable …,Wonderful service and knowledgeable staff,"Date of experience: October 16, 2017"
www.dugood.org,Bobby,4,US,Very helpful,"Very helpful, and great customer service!","Date of experience: October 16, 2017"
www.dugood.org,Douglas,5,US,Great place to do busy with recommended …,Great place to do busy with recommended everyone to switch,"Date of experience: October 16, 2017"
www.dugood.org,Felicia,5,US,I couldn't have made a better choice,I couldn't have made a better choice. I absolutely love DUGOOD and recommend it to everyone. Thank you for all you do!!,"Date of experience: October 16, 2017"
www.dugood.org,Brandi,5,US,Every branch is so friendly and helpful.,,"Date of experience: October 16, 2017"
www.dugood.org,Robert Royal,5,US,Friendly,"Friendly, fast, courteous service!!","Date of experience: October 16, 2017"
www.dugood.org,Johnnie washington ,5,US,I've had excellent experience with …,I've had excellent experience with Dugood and the Staff there are great .,"Date of experience: October 16, 2017"
www.dugood.org,Kenneth Catron,5,US,The employees at DuGood are very well …,"The employees at DuGood are very well informed as to the needs of theAccount holders.  I am very pleased to be a memb,er.","Date of experience: October 16, 2017"
www.dugood.org,Randy,5,US,Great customer service,The customer service is great. When you walk in a branch they are very welcoming and normally there’s not much of a wait.,"Date of experience: October 16, 2017"
www.dugood.org,Doris Bishop,5,US,Great Customer Service,"Great staff , fast service ...Customer service is very important to me , and that’s what I get at the Eastex Branch ,, They make every member fill special !","Date of experience: October 16, 2017"
www.dugood.org,Rebecca,5,US,I’m only 18 and just got my account a …,"I’m only 18 and just got my account a few months ago so I am still learning, but every time I have a question the employees are always there to help me and see what the problem is! They are always friendly and never give off a negative feel. I am very comfortable every time I go in! I recommend DuGood to my friends all the time! I epescially enjoy the DuGood app!","Date of experience: October 16, 2017"
